gene_id,SRR015084,SRR015086,SRR015088,SRR015090,SRR015092,SRR015104,SRR015106,SRR015108,SRR015110,SRR015112
FBgn0035213,258,135,243,279,141,417,359,359,178,293
FBgn0029514,63,46,53,64,36,140,120,85,51,75
FBgn0003295,1,0,0,0,1,1,1,0,0,0
FBgn0266116,1,2,0,0,0,2,3,6,1,3
FBgn0004635,48,27,48,40,24,131,106,215,97,171
FBgn0263839,1,2,2,0,1,0,0,2,0,0
FBgn0086670,1,0,2,0,0,0,0,0,1,0
FBgn0043458,525,348,473,648,354,754,653,655,353,597
FBgn0267462,2,0,2,2,2,1,1,1,0,2
FBgn0011204,1129,783,1022,1358,682,672,535,582,290,472
FBgn0053971,4,3,6,16,10,31,20,28,17,31
FBgn0035228,515,390,491,624,345,927,761,695,412,572
FBgn0267463,3,1,2,5,3,6,5,8,4,0
FBgn0035231,14,6,13,18,11,17,20,21,11,16
FBgn0035232,398,268,397,533,224,595,482,617,306,502
FBgn0035233,32,16,40,37,20,121,99,91,34,83
FBgn0035235,79,61,83,102,48,184,136,187,85,134
FBgn0035234,6,3,1,6,0,8,3,12,4,11
FBgn0035266,21,13,13,22,6,143,98,72,40,87
FBgn0035237,105,72,105,134,72,250,209,193,106,170
FBgn0035238,178,126,167,218,125,255,201,232,109,207
FBgn0035240,0,0,0,0,0,3,0,0,0,0
FBgn0035239,5,6,0,6,4,7,9,11,8,12
FBgn0035245,39,22,43,42,21,3,0,1,0,0
FBgn0013342,0,0,0,0,0,0,0,2,0,0
FBgn0267465,1,0,0,0,0,0,0,0,0,0
FBgn0025712,3,4,0,4,3,4,7,0,3,0
FBgn0035252,168,101,140,202,118,305,250,244,112,224
FBgn0035253,744,494,658,909,479,990,804,868,450,705
FBgn0082945,0,0,1,1,1,1,0,0,1,0
FBgn0035255,0,0,0,0,0,0,0,0,0,0
FBgn0035256,0,0,0,0,0,0,0,0,0,0
FBgn0035257,0,0,0,0,0,0,0,0,1,0
FBgn0035258,0,0,0,0,0,0,0,0,0,0
FBgn0027594,401,294,367,559,273,2124,1797,2353,1114,1975
FBgn0035264,0,0,0,0,0,16,11,13,4,9
FBgn0035241,6,4,2,5,2,8,6,12,7,11
FBgn0035243,32,27,42,42,33,91,62,68,30,49
FBgn0267464,20,9,23,31,5,98,64,44,28,32
FBgn0035244,297,209,326,407,209,573,467,565,268,467
FBgn0053230,119,69,115,115,64,146,105,137,73,131
FBgn0035246,341,216,328,394,210,15,7,21,13,20
FBgn0035247,209,142,186,203,117,434,319,285,157,273
FBgn0013753,173,125,152,194,90,340,278,246,133,233
FBgn0025725,1244,788,1116,1548,822,3369,2697,2372,1248,2085
FBgn0035248,9,7,9,12,7,40,18,25,19,28
FBgn0035249,41,30,28,44,16,124,104,101,42,57
FBgn0013755,1,0,0,0,1,0,0,0,0,0
FBgn0035251,197,137,186,208,112,568,456,453,227,343
FBgn0035254,48,19,31,46,24,69,55,68,32,65
FBgn0026372,10877,7768,10272,13014,6983,40611,31553,34733,18775,28283
FBgn0083121,1,1,1,0,0,0,1,0,0,1
FBgn0082944,1,0,1,1,0,0,0,1,0,0
FBgn0082946,1,0,1,1,1,1,0,0,0,0
FBgn0286729,1,1,1,1,1,1,1,1,1,1
FBgn0035260,5,2,3,3,0,0,3,0,0,0
FBgn0035262,45,38,63,56,22,69,74,99,40,83
FBgn0035263,3,0,0,0,1,3,2,4,4,4
FBgn0267468,0,0,0,0,0,0,0,0,0,0
FBgn0035273,0,0,2,1,2,2,1,1,0,1
FBgn0011573,435,316,449,501,308,723,653,556,282,488
FBgn0067864,277,184,269,320,177,475,369,323,135,272
FBgn0025820,47,28,45,54,28,126,89,99,66,100
FBgn0261562,73,51,75,97,48,147,130,131,73,115
FBgn0267246,0,0,0,0,0,0,0,0,0,0
FBgn0035267,0,0,0,0,0,15,8,14,3,10
FBgn0035270,147,73,129,153,78,190,168,179,93,179
FBgn0267484,0,0,2,3,0,2,1,4,0,2
FBgn0022702,779,520,714,983,499,205,160,188,97,176
FBgn0035268,187,111,166,216,110,478,366,349,182,295
FBgn0013811,234,174,228,270,155,97,91,123,77,127
FBgn0265451,22,20,7,26,13,17,23,19,21,28
FBgn0027903,204,144,193,233,136,378,302,237,122,212
FBgn0035271,22,15,27,27,24,91,71,57,26,42
FBgn0035272,99,62,75,119,44,183,153,144,85,115
FBgn0250789,5413,3859,5241,6970,3617,6941,5491,5848,3167,4901
FBgn0024510,29,19,19,22,13,82,71,49,28,50
FBgn0027790,0,0,0,0,0,0,0,0,0,0
FBgn0035279,0,0,0,0,0,0,0,0,0,0
FBgn0035280,0,0,0,0,0,0,0,0,0,0
FBgn0035281,0,0,0,0,0,0,0,0,0,0
FBgn0035282,0,0,0,0,0,0,0,0,2,0
FBgn0035287,8,0,0,5,3,34,14,29,21,37
FBgn0262624,0,0,0,0,2,0,0,0,0,0
FBgn0035290,0,0,0,0,0,0,0,0,0,0
FBgn0035283,66,59,75,94,46,121,104,115,66,104
FBgn0004636,2270,1459,2131,2448,1187,732,622,1239,660,959
FBgn0042712,295,200,267,394,171,660,513,481,264,408
FBgn0035285,261,164,248,265,157,191,165,267,150,203
FBgn0035286,16,4,9,13,6,7,7,15,4,9
FBgn0002183,1601,1060,1537,2041,987,3465,2935,2561,1293,2205
FBgn0000109,28,18,39,44,25,81,75,60,32,60
FBgn0262030,0,0,0,0,0,0,0,0,0,0
FBgn0035295,121,68,103,151,57,175,166,152,79,129
FBgn0035294,131,101,128,147,78,584,459,435,232,358
FBgn0002872,226,171,223,300,153,149,141,163,81,143
FBgn0288310,128,79,112,157,72,486,417,524,253,421
FBgn0035298,298,174,271,305,171,564,488,419,213,346
FBgn0267477,1,1,1,0,1,1,0,6,1,1
FBgn0267478,1,0,1,0,0,1,0,1,1,1
FBgn0027547,381,229,354,432,210,413,316,353,164,319
FBgn0026593,15,13,10,19,8,45,29,24,18,27
FBgn0040507,0,0,0,0,0,0,0,0,3,0
FBgn0035317,3,0,0,0,2,0,2,3,0,4
FBgn0035318,137,105,108,159,81,338,258,234,121,198
FBgn0086906,32,25,36,56,18,71,65,107,55,76
FBgn0262107,2,0,0,0,0,1,1,1,2,1
FBgn0052311,16,14,21,20,13,359,350,340,152,279
FBgn0267452,0,0,0,0,0,0,0,0,0,0
FBgn0035308,9,6,7,12,5,0,0,3,0,3
FBgn0035309,31,13,31,37,14,59,46,48,27,44
FBgn0026570,170,82,131,160,75,156,130,124,62,126
FBgn0035311,2,6,3,3,0,15,13,8,5,12
FBgn0035312,62,44,52,81,39,110,117,85,39,82
FBgn0035321,25,15,14,28,12,561,469,525,244,501
FBgn0015359,192,134,208,216,123,398,316,254,137,211
FBgn0015360,164,114,158,214,94,435,351,315,119,270
FBgn0035325,0,0,0,0,0,0,0,0,0,0
FBgn0035323,51,35,44,48,24,129,99,97,39,62
FBgn0000543,148,104,130,177,89,366,301,246,159,216
FBgn0052302,0,2,0,2,1,7,1,1,2,0
FBgn0041709,13,9,12,16,7,0,0,0,0,0
FBgn0035333,603,394,592,766,372,947,781,828,433,721
FBgn0035348,14,12,20,20,6,85,99,76,39,52
FBgn0035335,79,53,73,87,50,167,143,152,63,116
FBgn0266696,971,676,929,1265,604,1799,1445,1620,811,1247
FBgn0261858,0,0,0,3,0,0,0,2,0,0
FBgn0052299,0,0,0,3,0,0,0,0,0,3
FBgn0052298,0,0,0,0,0,0,0,0,0,0
FBgn0035343,0,0,0,0,0,0,0,3,3,0
FBgn0035344,0,0,0,0,0,43,42,50,37,35
FBgn0035346,56,36,52,57,31,292,205,248,113,204
FBgn0035334,112,99,122,133,58,373,279,274,113,215
FBgn0035336,102,52,70,103,52,148,118,110,61,82
FBgn0035337,39,29,49,52,17,89,75,65,36,56
FBgn0035359,8,10,13,18,10,16,6,9,4,8
FBgn0035360,5,0,4,5,0,3,8,5,0,4
FBgn0027082,45,15,54,53,26,135,123,93,35,87
FBgn0259199,0,0,13,0,7,23,17,38,11,14
FBgn0259200,64,48,44,88,35,111,101,64,48,81
FBgn0264606,0,0,0,0,0,5,0,5,0,6
FBgn0053233,0,0,0,0,0,0,0,0,0,0
FBgn0053234,0,0,0,0,0,0,0,0,0,0
FBgn0010905,336,257,354,388,201,483,379,638,317,508
FBgn0266680,0,0,4,4,1,0,0,3,0,3
FBgn0260480,0,0,2,2,0,0,1,1,0,0
FBgn0010909,1746,1162,1571,2024,1022,1922,1501,3087,1636,2473
FBgn0016794,229,146,209,265,139,1156,899,907,491,765
FBgn0062517,0,3,0,3,0,2,2,1,0,0
FBgn0035356,34,33,42,55,15,50,50,44,18,47
FBgn0035357,925,549,812,1107,476,1401,1156,1497,725,1255
FBgn0261602,13872,10138,12639,17552,9265,44107,33248,36916,20152,29330
FBgn0028504,52,31,29,41,24,86,67,69,38,51
FBgn0035355,37,25,41,62,19,51,48,37,18,28
FBgn0011828,1161,814,1105,1556,783,32865,26465,28055,14796,23593
FBgn0267643,4,2,4,4,1,6,7,10,8,10
FBgn0267644,4,3,4,3,1,17,13,21,15,19
FBgn0267220,1,2,2,2,1,19,11,10,8,13
FBgn0250911,180,168,180,187,154,421,323,28,28,33
FBgn0035358,9,6,12,14,8,15,12,9,1,12
FBgn0262593,0,0,0,0,2,0,0,0,0,2
FBgn0035380,0,0,0,0,0,0,0,0,0,0
FBgn0052846,0,0,0,0,0,0,0,0,0,0
FBgn0052296,203,139,192,239,113,73,62,135,71,120
FBgn0020509,0,0,0,0,0,0,0,0,0,0
FBgn0035375,227,136,198,281,127,527,418,431,218,394
FBgn0263392,579,426,486,780,397,537,427,960,493,795
FBgn0035370,840,574,773,957,499,1430,1135,1254,673,1017
FBgn0035371,1459,950,1390,1642,866,749,602,685,332,581
FBgn0035372,182,114,148,194,99,381,335,350,173,286
FBgn0044452,343,230,358,431,236,798,668,657,327,547
FBgn0035374,171,115,187,210,125,417,321,311,140,248
FBgn0035383,113,63,104,125,60,224,186,228,104,188
FBgn0004372,6,2,3,4,2,0,0,0,0,0
FBgn0035388,377,236,354,431,212,502,372,521,233,404
FBgn0040308,226,157,223,285,145,412,299,334,139,254
FBgn0035390,363,250,339,426,228,379,329,327,174,285
FBgn0035392,24,16,19,20,16,44,39,30,19,25
FBgn0052484,203,137,209,275,150,604,481,506,255,401
FBgn0052485,67,35,61,68,40,135,111,104,63,86
FBgn0035393,141,90,132,147,63,146,116,139,72,103
FBgn0266918,218,133,174,223,108,357,299,354,161,304
FBgn0035398,0,0,0,0,0,0,0,0,0,0
FBgn0052288,0,0,0,0,0,0,0,0,1,0
FBgn0052289,0,0,0,0,0,0,0,0,1,0
FBgn0052287,0,0,0,0,0,0,0,0,1,0
FBgn0052272,0,0,1,0,0,0,1,0,0,0
FBgn0052286,0,0,0,0,0,0,0,0,1,0
FBgn0052285,1,0,0,0,0,0,1,0,0,0
FBgn0035397,494,314,498,539,263,299,243,713,352,558
FBgn0035429,0,2,0,0,0,0,0,0,0,0
FBgn0035435,9,9,9,5,4,51,46,43,27,36
FBgn0035432,469,291,449,560,272,1613,1257,1290,683,1055
FBgn0052268,3,0,1,1,0,6,7,6,3,3
FBgn0035439,32,21,31,43,26,64,40,75,32,58
FBgn0035440,154,89,143,190,81,371,336,423,188,366
FBgn0035436,53,1,43,62,38,51,64,87,34,64
FBgn0035437,586,360,526,625,347,1163,946,870,433,784
FBgn0259933,80,101,75,97,57,112,96,108,51,96
FBgn0035438,859,564,825,971,547,1286,1138,1126,614,1003
FBgn0026189,1523,1052,1487,1866,908,2122,1749,2446,1283,2071
FBgn0035400,282,152,218,292,136,600,489,600,307,504
FBgn0267469,0,0,0,0,2,1,0,0,1,1
FBgn0035402,276,230,292,389,221,727,543,444,241,387
FBgn0263108,489,377,472,630,344,1194,944,1170,626,885
FBgn0052280,260,135,232,252,112,98,83,130,66,95
FBgn0283724,203,121,200,203,103,403,335,360,187,357
FBgn0260026,4,4,8,4,3,2,6,0,0,8
FBgn0052284,0,0,0,0,0,0,0,0,0,0
FBgn0035412,0,0,0,0,0,0,0,0,0,0
FBgn0260430,0,0,0,0,0,0,0,0,0,0
FBgn0035413,0,0,0,0,0,0,0,0,0,0
FBgn0053160,0,1,1,0,0,0,0,1,2,0
FBgn0086070,0,0,0,0,0,0,0,0,1,0
FBgn0086071,0,0,0,0,0,0,0,1,0,0
FBgn0086072,0,0,1,1,0,1,0,0,0,1
FBgn0035426,0,0,0,0,0,0,0,0,0,0
FBgn0266973,1,1,1,0,0,1,0,0,0,3
FBgn0263246,0,0,3,2,0,0,0,0,0,0
FBgn0262368,0,0,0,0,0,2,0,1,0,0
FBgn0035427,0,0,0,0,0,0,0,0,0,0
FBgn0085294,0,0,0,0,0,0,0,0,0,0
FBgn0035428,0,0,0,0,0,0,0,0,0,0
FBgn0266436,1,0,0,0,0,0,0,0,0,0
FBgn0266437,7,4,8,4,3,0,2,0,0,5
FBgn0052273,1,0,1,0,1,0,1,0,0,0
FBgn0035401,95,82,110,129,84,506,441,418,222,331
FBgn0266582,334,291,358,468,231,747,584,555,286,438
FBgn0035405,144,93,136,151,87,326,259,211,113,192
FBgn0024194,99,75,91,129,62,437,383,268,154,238
FBgn0035407,44,32,51,46,21,70,51,45,36,44
FBgn0052278,153,89,151,178,70,114,111,132,60,107
FBgn0052281,59,24,48,52,34,74,64,65,34,63
FBgn0035409,4,2,2,7,1,8,9,7,3,5
FBgn0035410,355,263,366,414,221,92,50,57,30,48
FBgn0035414,49,27,38,51,28,36,25,58,32,50
FBgn0001233,12346,8320,11799,14805,7212,26482,21928,14869,7688,12953
FBgn0035415,57,29,53,46,23,92,72,82,37,64
FBgn0047135,605,370,579,650,288,595,523,553,259,530
FBgn0286567,493,308,456,615,306,893,719,769,359,625
FBgn0052271,2,2,1,1,1,4,1,3,1,2
FBgn0053159,1,1,0,2,2,5,8,2,3,4
FBgn0052277,1,0,0,1,1,1,1,0,0,0
FBgn0052269,3,1,2,1,0,3,1,1,1,2
